(robot_env) ragnar@Ragnar:~/Desktop/robot $ python robot_client.py --server ws://193.169.240.11:8080                 2025-06-22 15:23:33,897 - asyncio - DEBUG - Using selector: EpollSelector
2025-06-22 15:23:33,900 - robot_video - INFO - Клиент инициализирован: ws://193.169.240.11:8080
2025-06-22 15:23:33,901 - robot_video - INFO - Подключение к серверу...
2025-06-22 15:23:34,009 - websockets.client - DEBUG - = connection is CONNECTING
2025-06-22 15:23:34,010 - websockets.client - DEBUG - > GET / HTTP/1.1
2025-06-22 15:23:34,010 - websockets.client - DEBUG - > Host: 193.169.240.11:8080
2025-06-22 15:23:34,010 - websockets.client - DEBUG - > Upgrade: websocket
2025-06-22 15:23:34,011 - websockets.client - DEBUG - > Connection: Upgrade
2025-06-22 15:23:34,011 - websockets.client - DEBUG - > Sec-WebSocket-Key: LnCaZh827hhFW/aNIzPCFw==
2025-06-22 15:23:34,011 - websockets.client - DEBUG - > Sec-WebSocket-Version: 13
2025-06-22 15:23:34,011 - websockets.client - DEBUG - > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2025-06-22 15:23:34,011 - websockets.client - DEBUG - > User-Agent: Python/3.11 websockets/15.0.1
2025-06-22 15:23:34,032 - websockets.client - DEBUG - < HTTP/1.1 101 Switching Protocols
2025-06-22 15:23:34,033 - websockets.client - DEBUG - < Upgrade: websocket
2025-06-22 15:23:34,033 - websockets.client - DEBUG - < Connection: Upgrade
2025-06-22 15:23:34,033 - websockets.client - DEBUG - < Sec-WebSocket-Accept: St+SdGkqbNObwSvbicwf0V9Sdng=
2025-06-22 15:23:34,033 - websockets.client - DEBUG - = connection is OPEN
2025-06-22 15:23:34,034 - robot_video - INFO - Подключение установлено
2025-06-22 15:23:34,034 - robot_video - INFO - 🧪 ПРИНУДИТЕЛЬНЫЙ ТЕСТОВЫЙ РЕЖИМ (для отладки зависания камеры)
2025-06-22 15:23:34,034 - robot_video - INFO - Видео стример инициализирован
2025-06-22 15:23:34,034 - websockets.client - DEBUG - > TEXT 'REGISTER!ROBOT' [14 bytes]
2025-06-22 15:23:34,035 - robot_video - INFO - Зарегистрирован как ROBOT
2025-06-22 15:23:34,035 - robot_video - INFO - 🎬 Запуск видео стриминга...
2025-06-22 15:23:34,035 - robot_video - INFO - 🎥 Запуск потока захвата кадров...
2025-06-22 15:23:34,035 - robot_video - INFO - 🎥 Поток захвата кадров запущен
2025-06-22 15:23:34,036 - robot_video - INFO - ⏳ Ожидание запуска потока захвата...
2025-06-22 15:23:34,036 - robot_video - INFO - 🎬 Захват кадров: #1, FPS: 0.0
2025-06-22 15:23:34,036 - robot_video - DEBUG - 🎥 Захватываем кадр #1...
2025-06-22 15:23:34,141 - robot_video - INFO - ⏳ Проверка состояния потока...
2025-06-22 15:23:34,146 - robot_video - INFO - ✅ Поток захвата кадров успешно запущен
2025-06-22 15:23:34,152 - robot_video - INFO - 📋 Завершение функции start_streaming...
2025-06-22 15:23:34,157 - robot_video - INFO - Видео стриминг запущен
2025-06-22 15:23:34,162 - robot_video - INFO - 🎥 Видео стриминг ЗАПУЩЕН
2025-06-22 15:23:34,168 - robot_video - INFO - Видео стриминг запущен автоматически
2025-06-22 15:23:34,173 - robot_video - INFO - 🚀 Создаем задачу отправки видео...
2025-06-22 15:23:34,178 - robot_video - INFO - ✅ Задача отправки видео создана
2025-06-22 15:23:34,183 - robot_video - INFO - ⏳ Ожидание запуска задачи видео (sleep 0.1)...
2025-06-22 15:23:34,189 - robot_video - INFO - 🎬 ВХОД в функцию _video_send_loop
2025-06-22 15:23:34,194 - robot_video - INFO - Запуск цикла отправки видео
2025-06-22 15:23:34,199 - robot_video - INFO - 🔄 Входим в цикл отправки видео...
2025-06-22 15:23:34,205 - robot_video - INFO - 🔗 Состояние подключения: True
2025-06-22 15:23:34,210 - robot_video - INFO - 🔄 Цикл видео: итерация 1, ошибок подряд: 0
2025-06-22 15:23:34,215 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,220 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,231 - websockets.client - DEBUG - < TEXT 'REGISTERED!ROBOT' [16 bytes]
2025-06-22 15:23:34,295 - robot_video - INFO - ⏳ Проверка состояния задачи видео...
2025-06-22 15:23:34,300 - robot_video - INFO - ✅ Задача видео работает
2025-06-22 15:23:34,306 - robot_video - INFO - 🔄 Запуск основного цикла обработки сообщений
2025-06-22 15:23:34,311 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #0)...
2025-06-22 15:23:34,316 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,322 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,327 - robot_video - DEBUG - 📨 Получено сообщение #1: REGISTERED!ROBOT...
2025-06-22 15:23:34,333 - robot_video - INFO - Зарегистрирован
2025-06-22 15:23:34,338 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #0)...
2025-06-22 15:23:34,400 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,405 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,484 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,489 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,568 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,573 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,652 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,657 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,736 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,741 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,820 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,825 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,904 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:34,909 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:34,929 - robot_video - DEBUG - 🎥 Кадр #1 захвачен: True
2025-06-22 15:23:34,929 - robot_video - DEBUG - 🎨 Кодируем кадр #1...
2025-06-22 15:23:34,963 - robot_video - DEBUG - 🎨 Кадр #1 закодирован: True
2025-06-22 15:23:34,964 - robot_video - DEBUG - 🎬 Кадр #1 добавлен в очередь
2025-06-22 15:23:34,964 - robot_video - INFO - 🎬 Захват кадров: #2, FPS: 0.0
2025-06-22 15:23:34,964 - robot_video - DEBUG - 🎥 Захватываем кадр #2...
2025-06-22 15:23:34,996 - robot_video - DEBUG - 🎬 Получен кадр из очереди: #0
2025-06-22 15:23:35,002 - websockets.client - DEBUG - > TEXT 'VIDEO_FRAME!{"type": "video_frame", "data": "/9...191, "frame_number": 0}' [30506 bytes]
2025-06-22 15:23:35,013 - robot_video - DEBUG - 📤 Отправлен кадр #0 (30506 байт)
2025-06-22 15:23:35,091 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,097 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,176 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,181 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,260 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,265 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,344 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,349 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,355 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #1)...
2025-06-22 15:23:35,426 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,432 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,507 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,513 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,591 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,597 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,675 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,681 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,759 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,765 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:35,832 - robot_video - DEBUG - 🎥 Кадр #2 захвачен: True
2025-06-22 15:23:35,832 - robot_video - DEBUG - 🎨 Кодируем кадр #2...
2025-06-22 15:23:35,836 - robot_video - DEBUG - 🎨 Кадр #2 закодирован: True
2025-06-22 15:23:35,836 - robot_video - DEBUG - 🎬 Кадр #2 добавлен в очередь
2025-06-22 15:23:35,836 - robot_video - INFO - 🎬 Захват кадров: #3, FPS: 0.0
2025-06-22 15:23:35,837 - robot_video - DEBUG - 🎥 Захватываем кадр #3...
2025-06-22 15:23:35,843 - robot_video - DEBUG - 🎬 Получен кадр из очереди: #1
2025-06-22 15:23:35,849 - websockets.client - DEBUG - > TEXT 'VIDEO_FRAME!{"type": "video_frame", "data": "/9...886, "frame_number": 1}' [30315 bytes]
2025-06-22 15:23:35,860 - robot_video - DEBUG - 📤 Отправлен кадр #1 (30315 байт)
2025-06-22 15:23:35,939 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:35,944 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,022 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,028 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,106 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,112 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,190 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,196 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,274 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,280 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,358 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,364 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,369 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #2)...
2025-06-22 15:23:36,441 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,446 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,519 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,524 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,603 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,608 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,687 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:36,692 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:36,698 - robot_video - ERROR - ❌ Слишком много ошибок отправки видео подряд: 10
2025-06-22 15:23:36,709 - robot_video - DEBUG - 🎥 Кадр #3 захвачен: True
2025-06-22 15:23:36,709 - robot_video - DEBUG - 🎨 Кодируем кадр #3...
2025-06-22 15:23:36,713 - robot_video - DEBUG - 🎨 Кадр #3 закодирован: True
2025-06-22 15:23:36,714 - robot_video - DEBUG - 🎬 Кадр #3 добавлен в очередь
2025-06-22 15:23:36,714 - robot_video - DEBUG - 🎥 Захватываем кадр #4...
2025-06-22 15:23:36,894 - websockets.client - DEBUG - < PING '' [0 bytes]
2025-06-22 15:23:36,899 - websockets.client - DEBUG - > PONG '' [0 bytes]
2025-06-22 15:23:37,382 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #3)...
2025-06-22 15:23:37,584 - robot_video - DEBUG - 🎥 Кадр #4 захвачен: True
2025-06-22 15:23:37,585 - robot_video - DEBUG - 🎨 Кодируем кадр #4...
2025-06-22 15:23:37,589 - robot_video - DEBUG - 🎨 Кадр #4 закодирован: True
2025-06-22 15:23:37,589 - robot_video - DEBUG - 🎬 Кадр #4 добавлен в очередь
2025-06-22 15:23:37,589 - robot_video - DEBUG - 🎥 Захватываем кадр #5...
2025-06-22 15:23:38,395 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #4)...
2025-06-22 15:23:38,453 - robot_video - DEBUG - 🎥 Кадр #5 захвачен: True
2025-06-22 15:23:38,453 - robot_video - DEBUG - 🎨 Кодируем кадр #5...
2025-06-22 15:23:38,457 - robot_video - DEBUG - 🎨 Кадр #5 закодирован: True
2025-06-22 15:23:38,458 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:38,458 - robot_video - DEBUG - 🎥 Захватываем кадр #6...
2025-06-22 15:23:39,317 - robot_video - DEBUG - 🎥 Кадр #6 захвачен: True
2025-06-22 15:23:39,317 - robot_video - DEBUG - 🎨 Кодируем кадр #6...
2025-06-22 15:23:39,322 - robot_video - DEBUG - 🎨 Кадр #6 закодирован: True
2025-06-22 15:23:39,322 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:39,322 - robot_video - DEBUG - 🎥 Захватываем кадр #7...
2025-06-22 15:23:39,407 - robot_video - INFO - ⏰ Таймаут ожидания сообщений: 5 секунд
2025-06-22 15:23:39,412 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #5)...
2025-06-22 15:23:40,180 - robot_video - DEBUG - 🎥 Кадр #7 захвачен: True
2025-06-22 15:23:40,181 - robot_video - DEBUG - 🎨 Кодируем кадр #7...
2025-06-22 15:23:40,185 - robot_video - DEBUG - 🎨 Кадр #7 закодирован: True
2025-06-22 15:23:40,185 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:40,185 - robot_video - DEBUG - 🎥 Захватываем кадр #8...
2025-06-22 15:23:40,424 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #6)...
2025-06-22 15:23:41,045 - robot_video - DEBUG - 🎥 Кадр #8 захвачен: True
